timestamp,cpu_percent,memory_percent,memory_used_gb,disk_percent,disk_free_gb,process_count,temperature,network_sent_mb,network_recv_mb
2025-06-27T02:03:08.777455,9.1,45.5,14.481521606445312,90.21656876813758,61.11577606201172,267,0,1521.2594947814941,63477.135999679565
2025-06-27T02:03:10.966375,9.3,45.5,14.486003875732422,90.21656937879541,61.11577224731445,267,0,1521.2610483169556,63477.1411485672
2025-06-27T02:03:12.994547,27.3,45.8,14.594532012939453,90.21656937879541,61.11577224731445,268,0,1521.2659912109375,63477.162779808044
2025-06-27T02:03:15.024103,26.7,46.1,14.673881530761719,90.21656937879541,61.11577224731445,269,0,1521.3160467147827,63479.93288421631
2025-06-27T02:03:17.055335,18.3,46.1,14.667526245117188,90.21657060011111,61.11576461791992,269,0,1521.3316450119019,63480.726019859314
2025-06-27T02:03:19.081493,23.5,46.1,14.671146392822266,90.21657060011111,61.11576461791992,269,0,1521.3444080352783,63480.736441612244
2025-06-27T02:03:21.117439,19.6,46.1,14.677127838134766,90.21657060011111,61.11576461791992,269,0,1521.3915147781372,63480.8224363327
2025-06-27T02:03:23.150878,22.0,45.9,14.61212158203125,90.21657060011111,61.11576461791992,269,0,1521.401982307434,63480.84233379364
2025-06-27T02:03:25.176475,17.3,46.1,14.67724609375,90.21657121076898,61.115760803222656,270,0,1521.4135847091675,63480.866881370544
2025-06-27T02:03:27.199130,24.8,46.1,14.6893310546875,90.21657121076898,61.115760803222656,271,0,1521.4377460479736,63480.9072933197
2025-06-27T02:03:29.228782,22.8,46.2,14.698055267333984,90.21657121076898,61.115760803222656,271,0,1521.450119972229,63480.92313480377
2025-06-27T02:03:31.258661,19.2,46.2,14.711082458496094,90.21657121076898,61.115760803222656,271,0,1521.4582834243774,63480.935651779175
2025-06-27T02:03:33.299465,18.5,46.2,14.711074829101562,90.21657182142681,61.11575698852539,271,0,1521.500747680664,63484.287110328674
2025-06-27T02:03:35.321238,19.6,46.2,14.723846435546875,90.21657182142681,61.11575698852539,271,0,1521.5154972076416,63484.3144493103
2025-06-27T02:03:37.348847,16.2,46.2,14.70383071899414,90.21657182142681,61.11575698852539,270,0,1521.5239934921265,63484.33138179779
2025-06-27T02:03:39.382123,19.0,46.2,14.71657943725586,90.21657182142681,61.11575698852539,270,0,1521.528802871704,63484.337666511536
2025-06-27T02:03:41.408575,18.6,46.2,14.694194793701172,90.21657243208466,61.115753173828125,272,0,1521.5349102020264,63484.34921360016
2025-06-27T02:03:43.446405,16.5,46.1,14.681640625,90.21657243208466,61.115753173828125,270,0,1521.5388851165771,63484.358682632446
2025-06-27T02:03:45.484311,11.8,46.1,14.688724517822266,90.21657243208466,61.115753173828125,270,0,1521.5464363098145,63484.365436553955
2025-06-27T02:03:47.514324,15.1,46.2,14.695297241210938,90.21657243208466,61.115753173828125,270,0,1521.5515832901,63484.373487472534
2025-06-27T02:03:49.541305,17.6,46.1,14.6915283203125,90.21657304274251,61.11574935913086,270,0,1521.5567960739136,63484.383644104004
2025-06-27T02:03:51.570210,13.2,46.2,14.69436264038086,90.21657304274251,61.11574935913086,270,0,1521.5979528427124,63487.56579685211
2025-06-27T02:03:53.599876,10.4,46.2,14.696952819824219,90.21657304274251,61.11574935913086,270,0,1521.6005592346191,63487.57249927521
2025-06-27T02:03:55.626468,16.3,46.1,14.677757263183594,90.21657304274251,61.11574935913086,270,0,1521.6151838302612,63487.593176841736
2025-06-27T02:03:57.651186,16.2,46.0,14.652835845947266,90.21657365340036,61.115745544433594,270,0,1521.6207084655762,63487.60506153107
2025-06-27T02:03:59.678220,18.5,46.0,14.659683227539062,90.21657365340036,61.115745544433594,270,0,1521.6261262893677,63487.61819553375
2025-06-27T02:04:01.707942,18.5,46.0,14.637203216552734,90.21657365340036,61.115745544433594,270,0,1521.6318559646606,63487.62564563751
2025-06-27T02:04:03.742546,16.4,46.0,14.647010803222656,90.21657365340036,61.115745544433594,270,0,1521.6359519958496,63487.63421726227
2025-06-27T02:04:05.765808,13.2,46.0,14.654380798339844,90.21657426405821,61.11574172973633,272,0,1521.6431331634521,63487.64522266388
2025-06-27T02:04:07.793483,19.3,46.0,14.645923614501953,90.21657426405821,61.11574172973633,270,0,1521.6861667633057,63491.46809387207
2025-06-27T02:04:38.683931,15.2,45.8,14.57937240600586,90.21657487471606,61.11573791503906,268,0,1521.8960046768188,63495.61597919464
2025-06-27T02:05:09.706860,6.2,45.6,14.504020690917969,90.21657487471606,61.11573791503906,267,0,1522.002142906189,63501.88157081604
2025-06-27T02:05:40.734871,6.5,45.5,14.49029541015625,90.21657548537391,61.1157341003418,269,0,1522.1540098190308,63509.49994468689
2025-06-27T02:06:11.762285,9.9,45.6,14.50439453125,90.21657548537391,61.1157341003418,268,0,1522.2624444961548,63516.134912490845
2025-06-27T02:06:42.794808,12.0,45.6,14.525650024414062,90.21657548537391,61.1157341003418,267,0,1522.704873085022,63522.98511219025
2025-06-27T02:07:13.824965,35.3,46.2,14.694347381591797,90.21657548537391,61.1157341003418,268,0,1523.1019077301025,63526.8924036026
2025-06-27T02:07:44.854878,38.1,46.3,14.72833251953125,90.21657609603176,61.11573028564453,266,0,1523.399203300476,63534.18288230896
2025-06-27T02:08:15.889008,21.6,46.0,14.657306671142578,90.21657609603176,61.11573028564453,269,0,1523.6359767913818,63540.582485198975
2025-06-27T02:08:46.920336,12.6,46.4,14.767253875732422,90.21657609603176,61.11573028564453,270,0,1523.9576597213745,63547.66158103943
