timestamp,computer_name,computer_id,os_system,cpu_percent,memory_percent,memory_used_gb,memory_total_gb,disk_percent,disk_free_gb,disk_total_gb,process_count,temperature,uptime_hours,network_sent_mb,network_recv_mb,security_score,antivirus_enabled,real_time_protection,definition_age_days,suspicious_activity_count,vulnerability_count,security_software_count
2025-06-28T19:49:45.661947,KxcPc,KxcPc,Windows,15.2,49.1,15.638797760009766,31.835979461669922,92.73353737732577,45.39261245727539,624.6865196228027,280,0,6.125000295970175,382.5472812652588,5536.494499206543,85,True,True,0,0,2,1
2025-06-28T19:51:07.846649,KxcPc,KxcPc,Windows,9.7,49.7,15.825428009033203,31.835979461669922,92.73353859864149,45.39260482788086,624.6865196228027,287,0,6.141951501568158,385.0038661956787,5554.304428100586,0,False,False,0,0,0,0
2025-06-28T19:52:08.870053,KxcPc,KxcPc,Windows,11.7,48.7,15.488883972167969,31.835979461669922,92.73353859864149,45.39260482788086,624.6865196228027,284,0,6.15890202595128,385.0835609436035,5554.483268737793,0,False,False,0,0,0,0
2025-06-28T19:53:09.893833,KxcPc,KxcPc,Windows,11.7,48.6,15.482982635498047,31.835979461669922,92.73353920929934,45.392601013183594,624.6865196228027,281,0,6.175851823223962,385.1652135848999,5554.800249099731,0,False,False,0,0,0,0
2025-06-28T19:54:10.912271,KxcPc,KxcPc,Windows,10.4,48.7,15.516231536865234,31.835979461669922,92.73353920929934,45.392601013183594,624.6865196228027,285,0,6.1928016673194035,385.7197570800781,5555.089991569519,0,False,False,0,0,0,0
2025-06-28T19:55:11.931618,KxcPc,KxcPc,Windows,14.2,48.7,15.516613006591797,31.835979461669922,92.73353920929934,45.392601013183594,624.6865196228027,292,0,6.2122040785021255,385.9286184310913,5555.615035057068,70,True,True,0,1,2,1
2025-06-28T19:56:21.780260,KxcPc,KxcPc,Windows,9.4,48.4,15.408004760742188,31.835979461669922,92.73353981995717,45.39259719848633,624.6865196228027,286,0,6.229153573910395,386.2637062072754,5555.757169723511,0,False,False,0,0,0,0
2025-06-28T19:57:22.798945,KxcPc,KxcPc,Windows,12.1,48.6,15.485328674316406,31.835979461669922,92.73353981995717,45.39259719848633,624.6865196228027,284,0,6.246103290451898,386.345534324646,5556.0869970321655,0,False,False,0,0,0,0
2025-06-28T19:58:23.817702,KxcPc,KxcPc,Windows,13.2,48.9,15.580528259277344,31.835979461669922,92.73354043061504,45.39259338378906,624.6865196228027,291,0,6.263053347269694,386.7449836730957,5556.4064655303955,0,False,False,0,0,0,0
2025-06-28T19:59:24.838343,KxcPc,KxcPc,Windows,11.6,48.7,15.503303527832031,31.835979461669922,92.73354043061504,45.39259338378906,624.6865196228027,287,0,6.280002982947561,386.8010654449463,5556.528728485107,0,False,False,0,0,0,0
2025-06-28T20:00:25.856499,KxcPc,KxcPc,Windows,16.0,48.7,15.50341796875,31.835979461669922,92.73354104127289,45.3925895690918,624.6865196228027,282,0,6.299155614508523,386.9837350845337,5556.936541557312,70,True,True,0,1,2,1
